<<<15:31:28:646774>>>
* Screen coordinates (1447, 53) choosen in zone #3.
* Screen dimensions are 1600 wide by 900 high.
* Minimum (x, y) are (1333, 0).
* Maximum (x, y) are (1600, 150).
* Mid (x, y) are (1466, 75).
<<<15:31:28:646774>>>  Image at Pix\Faraway_Objects\Asteroids\4.png choosen for background...
<<<15:31:33:372421>>>  Tank #3 Yellow AI Tank moved one unit CCW...
<<<15:31:33:389749>>>  Tank #2 Red AI Tank moved one unit CW...
<<<15:31:33:389749>>>  Tank #3 Yellow AI Tank moved one unit CCW...
<<<15:31:33:405791>>>  Tank #2 Red AI Tank moved one unit CW...
<<<15:31:33:406775>>>  Tank #3 Yellow AI Tank moved one unit CCW...
<<<15:31:33:421632>>>  Tank #2 Red AI Tank moved one unit CW...
<<<15:31:33:421632>>>  Tank #3 Yellow AI Tank moved one unit CCW...
<<<15:31:33:439239>>>  Tank #2 Red AI Tank moved one unit CW...
<<<15:31:33:439239>>>  Tank #3 Yellow AI Tank moved one unit CCW...
<<<15:31:33:453823>>>  Tank #2 Red AI Tank moved one unit CW...
<<<15:31:33:453823>>>  Tank #3 Yellow AI Tank moved one unit CCW...
<<<15:31:33:469667>>>  Tank #2 Red AI Tank moved one unit CW...
<<<15:31:33:469667>>>  Tank #3 Yellow AI Tank moved one unit CCW...
<<<15:31:33:485888>>>  Tank #2 Red AI Tank moved one unit CW...
<<<15:31:33:485888>>>  Tank #3 Yellow AI Tank moved one unit CCW...
<<<15:31:33:502391>>>  Tank #2 Red AI Tank moved one unit CW...
<<<15:31:33:502391>>>  Tank #3 Yellow AI Tank moved one unit CCW...
<<<15:31:33:519254>>>  Tank #2 Red AI Tank moved one unit CW...
<<<15:31:33:519254>>>  Tank #3 Yellow AI Tank moved one unit CCW...
<<<15:31:33:537197>>>  Tank #2 Red AI Tank moved one unit CW...
<<<15:31:33:537197>>>  Tank #3 Yellow AI Tank moved one unit CCW...
<<<15:31:33:554251>>>  Tank #2 Red AI Tank moved one unit CW...
<<<15:31:33:554251>>>  Tank #3 Yellow AI Tank moved one unit CCW...
<<<15:31:33:570064>>>  Tank #2 Red AI Tank moved one unit CW...
<<<15:31:33:570064>>>  Tank #3 Yellow AI Tank moved one unit CCW...
<<<15:31:33:587900>>>  Tank #2 Red AI Tank moved one unit CW...
<<<15:31:33:587900>>>  Tank #3 Yellow AI Tank moved one unit CCW...
<<<15:31:33:602700>>>  Tank #2 Red AI Tank moved one unit CW...
<<<15:31:33:602700>>>  Tank #3 Yellow AI Tank moved one unit CCW...
<<<15:31:33:618527>>>  Tank #2 Red AI Tank moved one unit CW...
<<<15:31:33:618527>>>  Tank #3 Yellow AI Tank moved one unit CCW...
<<<15:31:33:635730>>>  Tank #2 Red AI Tank moved one unit CW...
<<<15:31:33:635730>>>  Tank #3 Yellow AI Tank moved one unit CCW...
<<<15:31:33:651100>>>  Tank #2 Red AI Tank moved one unit CW...
<<<15:31:33:651100>>>  Tank #3 Yellow AI Tank moved one unit CCW...
<<<15:31:33:667093>>>  Tank #3 Yellow AI Tank moved one unit CCW...
<<<15:31:33:682746>>>  Tank #2 Red AI Tank chose to shoot...
<<<15:31:33:682746>>>  Tank #3 Yellow AI Tank moved one unit CCW...
<<<15:31:33:699225>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:33:699225>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:33:699225>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:33:699225>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CW...
<<<15:31:33:699225>>>  Tank #3 Yellow AI Tank moved one unit CCW...
<<<15:31:33:716031>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:33:716031>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:33:716031>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:33:716031>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CW...
<<<15:31:33:716031>>>  Tank #3 Yellow AI Tank moved one unit CCW...
<<<15:31:33:731602>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:33:731602>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:33:731602>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:33:731602>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CW...
<<<15:31:33:731602>>>  Tank #3 Yellow AI Tank moved one unit CCW...
<<<15:31:33:749219>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:33:749219>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:33:749219>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:33:749219>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CW...
<<<15:31:33:749219>>>  Tank #3 Yellow AI Tank moved one unit CCW...
<<<15:31:33:764697>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:33:764697>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:33:764697>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:33:764697>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CW...
<<<15:31:33:764697>>>  Tank #3 Yellow AI Tank moved one unit CCW...
<<<15:31:33:780996>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:33:780996>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:33:780996>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:33:780996>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CW...
<<<15:31:33:780996>>>  Tank #3 Yellow AI Tank moved one unit CCW...
<<<15:31:33:797904>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:33:797904>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:33:797904>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:33:797904>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CW...
<<<15:31:33:797904>>>  Tank #3 Yellow AI Tank moved one unit CCW...
<<<15:31:33:814158>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:33:814158>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:33:814158>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:33:814158>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CW...
<<<15:31:33:814158>>>  Tank #3 Yellow AI Tank moved one unit CCW...
<<<15:31:33:830814>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:33:830814>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:33:830814>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:33:830814>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CW...
<<<15:31:33:830814>>>  Tank #3 Yellow AI Tank moved one unit CCW...
<<<15:31:33:846661>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:33:846661>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:33:846661>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:33:846661>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CW...
<<<15:31:33:846661>>>  Tank #3 Yellow AI Tank moved one unit CCW...
<<<15:31:33:862988>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:33:862988>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:33:862988>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:33:862988>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CW...
<<<15:31:33:862988>>>  Tank #3 Yellow AI Tank moved one unit CCW...
<<<15:31:33:879306>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:33:879306>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:33:879306>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:33:879306>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CW...
<<<15:31:33:879306>>>  Tank #3 Yellow AI Tank moved one unit CCW...
<<<15:31:33:896854>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:33:896854>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:33:896854>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:33:896854>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CW...
<<<15:31:33:896854>>>  Tank #3 Yellow AI Tank moved one unit CCW...
<<<15:31:33:913491>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:33:913491>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:33:913491>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:33:913491>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CW...
<<<15:31:33:913491>>>  Tank #3 Yellow AI Tank moved one unit CCW...
<<<15:31:33:930334>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:33:930334>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:33:930334>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:33:930334>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CW...
<<<15:31:33:930334>>>  Tank #3 Yellow AI Tank moved one unit CCW...
<<<15:31:33:946742>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:33:946742>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:33:946742>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:33:946742>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CW...
<<<15:31:33:946742>>>  Tank #3 Yellow AI Tank moved one unit CCW...
<<<15:31:33:962898>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:33:962898>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:33:962898>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:33:962898>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CW...
<<<15:31:33:962898>>>  Tank #3 Yellow AI Tank moved one unit CCW...
<<<15:31:33:978857>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:33:978857>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:33:978857>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:33:978857>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CW...
<<<15:31:33:978857>>>  Tank #3 Yellow AI Tank moved one unit CCW...
<<<15:31:33:995859>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:33:995859>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:33:995859>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:33:995859>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CW...
<<<15:31:33:995859>>>  Tank #3 Yellow AI Tank moved one unit CCW...
<<<15:31:34:011535>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:34:011535>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:011535>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:34:011535>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CW...
<<<15:31:34:027844>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:34:027844>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:027844>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:34:027844>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CW...
<<<15:31:34:027844>>>  Tank #3 Yellow AI Tank chose to shoot...
<<<15:31:34:043650>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:34:043650>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:043650>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:34:043650>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CW...
<<<15:31:34:043650>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:34:043650>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:043650>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:34:043650>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CCW...
<<<15:31:34:059607>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:34:059607>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:059607>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:34:059607>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CW...
<<<15:31:34:059607>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:34:059607>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:059607>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:34:059607>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CCW...
<<<15:31:34:076473>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:34:076473>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:076473>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:34:076473>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CW...
<<<15:31:34:076473>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:34:076473>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:076473>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:34:076473>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CCW...
<<<15:31:34:093652>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:34:093652>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:093652>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:34:093652>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CW...
<<<15:31:34:093652>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:34:093652>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:093652>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:34:093652>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CCW...
<<<15:31:34:109838>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:34:109838>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:109838>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:34:109838>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CW...
<<<15:31:34:109838>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:34:109838>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:109838>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:34:109838>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CCW...
<<<15:31:34:125848>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:34:125848>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:125848>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:34:125848>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CW...
<<<15:31:34:125848>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:34:125848>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:125848>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:34:125848>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CCW...
<<<15:31:34:141554>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:34:141554>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:141554>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:34:141554>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CW...
<<<15:31:34:141554>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:34:141554>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:141554>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:34:141554>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CCW...
<<<15:31:34:158306>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:34:158306>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:158306>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:34:158306>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CW...
<<<15:31:34:158306>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:34:158306>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:158306>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:34:158306>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CCW...
<<<15:31:34:175938>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:34:175938>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:175938>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:34:175938>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CW...
<<<15:31:34:175938>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:34:175938>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:175938>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:34:175938>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CCW...
<<<15:31:34:190985>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:34:190985>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:191975>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:34:191975>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CW...
<<<15:31:34:191975>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:34:191975>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:191975>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:34:191975>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CCW...
<<<15:31:34:207616>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:34:207616>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:207616>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:34:207616>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CW...
<<<15:31:34:207616>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:34:207616>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:207616>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:34:207616>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CCW...
<<<15:31:34:224238>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:34:224238>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:224238>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:34:224238>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CW...
<<<15:31:34:224238>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:34:224238>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:225305>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:34:225305>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CCW...
<<<15:31:34:241372>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:34:241372>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:241372>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:34:241372>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CW...
<<<15:31:34:241372>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:34:241372>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:241372>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:34:241372>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CCW...
<<<15:31:34:257693>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:34:257693>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:257693>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:34:257693>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CW...
<<<15:31:34:257693>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:34:257693>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:257693>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:34:257693>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CCW...
<<<15:31:34:275224>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:34:275224>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:275224>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:34:275224>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CW...
<<<15:31:34:275224>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:34:275224>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:275224>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:34:275224>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CCW...
<<<15:31:34:292169>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:34:292169>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:292169>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:34:292169>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CW...
<<<15:31:34:292169>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:34:292169>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:292169>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:34:292169>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CCW...
<<<15:31:34:307995>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:34:307995>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:307995>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:34:307995>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CW...
<<<15:31:34:307995>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:34:307995>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:307995>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:34:307995>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CCW...
<<<15:31:34:325862>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:34:325862>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:325862>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:34:325862>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CW...
<<<15:31:34:325862>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:34:325862>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:325862>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:34:325862>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CCW...
<<<15:31:34:342604>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:34:342604>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:342604>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:34:342604>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CW...
<<<15:31:34:342604>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:34:342604>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:342604>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:34:342604>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CCW...
<<<15:31:34:359355>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:34:359355>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:359355>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:34:359355>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CW...
<<<15:31:34:359355>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:34:359355>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:359355>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:34:359355>>>  Tank #3 Yellow AI Tank adjusted targeting angle one unit CCW...
<<<15:31:34:375745>>>  Tank #2 Red AI Tank is checking targeting info...
<<<15:31:34:375745>>>  Tank #2 Red AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:375745>>>  Tank #2 Red AI Tank Launch speed not within tolerances, adjusting firing solution...
<<<15:31:34:375745>>>  Tank #2 Red AI Tank adjusted targeting angle one unit CW...
<<<15:31:34:375745>>>  Tank #3 Yellow AI Tank is checking targeting info...
<<<15:31:34:375745>>>  Tank #3 Yellow AI Tank Launch angle not within tolerances, adjusting firing solution...
<<<15:31:34:375745>>>  Tank #3 Yellow AI Tank Launch speed not within tolerances, adjusting firing solution...
